[2025-10-21T08:07:08.788Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-21T08:07:09.278Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-21T08:07:14.061Z] INFO: 💾 Đã lưu dữ liệu vào C:\Users\Quy\Desktop\AlojoBooking\AdministrativeBoundaries\data\full-address.json
[2025-10-21T08:37:16.391Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-21T08:37:16.907Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-21T08:37:20.881Z] INFO: 💾 Đã lưu dữ liệu vào C:\Users\Quy\Desktop\AlojoBooking\AdministrativeBoundaries\data\full-address.json
[2025-10-21T09:12:03.609Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-21T09:12:03.931Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-21T09:12:10.248Z] INFO: 💾 Đã lưu dữ liệu vào C:\Users\Quy\Desktop\AlojoBooking\AdministrativeBoundaries\data\full-address.json
[2025-10-22T01:18:04.297Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-22T01:18:04.803Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-22T01:18:09.495Z] INFO: 💾 Đã lưu dữ liệu vào C:\Users\Quy\Desktop\AlojoBooking\AdministrativeBoundaries\data\full-address.json
[2025-10-22T13:07:30.511Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-22T13:07:30.989Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-22T13:07:35.777Z] INFO: 💾 Đã lưu dữ liệu vào D:\Booking\AdministrativeBoundaries\data\full-address.json
[2025-10-22T13:22:56.017Z] INFO: 🔁 Bắt đầu tải dữ liệu hành chính...
[2025-10-22T13:22:56.509Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-22T13:23:01.312Z] INFO: 💾 Đã lưu dữ liệu vào D:\Booking\AdministrativeBoundaries\data\full-address.json
[2025-10-23T08:54:02.804Z] INFO: Test info message
[2025-10-23T08:54:02.814Z] ERROR: Test error message
[2025-10-23T08:54:02.819Z] INFO: ✅ Lấy 34 tỉnh/thành
[2025-10-23T08:54:02.821Z] INFO: 💾 Đã lưu dữ liệu vào /mock/path/data/full-address.json
[2025-10-23T08:54:02.823Z] ERROR: ❌ Lỗi khi fetch dữ liệu: Network error
[2025-10-24T09:32:00.178Z] INFO: Test info message
[2025-10-24T09:32:00.251Z] INFO: Test info message
[2025-10-24T09:32:00.322Z] INFO: 
[2025-10-24T09:32:00.386Z] INFO: Special chars: !@#$%^&*()_+-=[]{}|;':",./<>?
[2025-10-24T09:32:00.463Z] INFO: Unicode: 中文, العربية, русский, 🚀🌟💻
[2025-10-24T09:32:00.525Z] INFO: Multi-line
message
with
newlines
[2025-10-24T09:32:00.589Z] INFO: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2025-10-24T09:32:00.775Z] ERROR: Test error message
[2025-10-24T09:32:00.839Z] ERROR: Test error message
[2025-10-24T09:32:00.904Z] ERROR: 
[2025-10-24T09:32:00.967Z] ERROR: Error with special chars: !@#$%^&*()_+-=[]{}|;':",./<>?
[2025-10-24T09:32:01.030Z] ERROR: Error with unicode: 中文, العربية, русский, 🚀🌟💻
[2025-10-24T09:32:01.094Z] ERROR: Multi-line
error
message
with
newlines
[2025-10-24T09:32:01.154Z] ERROR: BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
[2025-10-24T09:32:01.336Z] INFO: Test message
[2025-10-24T09:32:01.403Z] ERROR: Test error
[2025-10-24T09:32:01.478Z] INFO: Test message
[2025-10-24T09:32:01.537Z] INFO: Test message
[2025-10-24T09:32:01.600Z] INFO: Test message
[2025-10-24T09:32:01.663Z] INFO: Test message
[2025-10-24T09:32:01.725Z] INFO: Test message
[2025-10-24T09:32:01.788Z] INFO: Test message
[2025-10-24T09:32:01.851Z] INFO: Message 0
[2025-10-24T09:32:01.853Z] INFO: Message 1
[2025-10-24T09:32:01.853Z] INFO: Message 2
[2025-10-24T09:32:01.854Z] INFO: Message 3
[2025-10-24T09:32:01.854Z] INFO: Message 4
[2025-10-24T09:32:01.855Z] INFO: Message 5
[2025-10-24T09:32:01.855Z] INFO: Message 6
[2025-10-24T09:32:01.856Z] INFO: Message 7
[2025-10-24T09:32:01.856Z] INFO: Message 8
[2025-10-24T09:32:01.856Z] INFO: Message 9
[2025-10-24T09:32:01.857Z] INFO: Message 10
[2025-10-24T09:32:01.857Z] INFO: Message 11
[2025-10-24T09:32:01.857Z] INFO: Message 12
[2025-10-24T09:32:01.857Z] INFO: Message 13
[2025-10-24T09:32:01.857Z] INFO: Message 14
[2025-10-24T09:32:01.858Z] INFO: Message 15
[2025-10-24T09:32:01.858Z] INFO: Message 16
[2025-10-24T09:32:01.858Z] INFO: Message 17
[2025-10-24T09:32:01.858Z] INFO: Message 18
[2025-10-24T09:32:01.858Z] INFO: Message 19
[2025-10-24T09:32:01.859Z] INFO: Message 20
[2025-10-24T09:32:01.859Z] INFO: Message 21
[2025-10-24T09:32:01.859Z] INFO: Message 22
[2025-10-24T09:32:01.860Z] INFO: Message 23
[2025-10-24T09:32:01.860Z] INFO: Message 24
[2025-10-24T09:32:01.860Z] INFO: Message 25
[2025-10-24T09:32:01.860Z] INFO: Message 26
[2025-10-24T09:32:01.860Z] INFO: Message 27
[2025-10-24T09:32:01.860Z] INFO: Message 28
[2025-10-24T09:32:01.861Z] INFO: Message 29
[2025-10-24T09:32:01.861Z] INFO: Message 30
[2025-10-24T09:32:01.861Z] INFO: Message 31
[2025-10-24T09:32:01.861Z] INFO: Message 32
[2025-10-24T09:32:01.861Z] INFO: Message 33
[2025-10-24T09:32:01.861Z] INFO: Message 34
[2025-10-24T09:32:01.861Z] INFO: Message 35
[2025-10-24T09:32:01.861Z] INFO: Message 36
[2025-10-24T09:32:01.862Z] INFO: Message 37
[2025-10-24T09:32:01.862Z] INFO: Message 38
[2025-10-24T09:32:01.862Z] INFO: Message 39
[2025-10-24T09:32:01.862Z] INFO: Message 40
[2025-10-24T09:32:01.862Z] INFO: Message 41
[2025-10-24T09:32:01.862Z] INFO: Message 42
[2025-10-24T09:32:01.862Z] INFO: Message 43
[2025-10-24T09:32:01.863Z] INFO: Message 44
[2025-10-24T09:32:01.863Z] INFO: Message 45
[2025-10-24T09:32:01.863Z] INFO: Message 46
[2025-10-24T09:32:01.863Z] INFO: Message 47
[2025-10-24T09:32:01.863Z] INFO: Message 48
[2025-10-24T09:32:01.864Z] INFO: Message 49
[2025-10-24T09:32:01.864Z] INFO: Message 50
[2025-10-24T09:32:01.864Z] INFO: Message 51
[2025-10-24T09:32:01.865Z] INFO: Message 52
[2025-10-24T09:32:01.865Z] INFO: Message 53
[2025-10-24T09:32:01.865Z] INFO: Message 54
[2025-10-24T09:32:01.865Z] INFO: Message 55
[2025-10-24T09:32:01.866Z] INFO: Message 56
[2025-10-24T09:32:01.866Z] INFO: Message 57
[2025-10-24T09:32:01.867Z] INFO: Message 58
[2025-10-24T09:32:01.867Z] INFO: Message 59
[2025-10-24T09:32:01.868Z] INFO: Message 60
[2025-10-24T09:32:01.868Z] INFO: Message 61
[2025-10-24T09:32:01.868Z] INFO: Message 62
[2025-10-24T09:32:01.869Z] INFO: Message 63
[2025-10-24T09:32:01.869Z] INFO: Message 64
[2025-10-24T09:32:01.869Z] INFO: Message 65
[2025-10-24T09:32:01.869Z] INFO: Message 66
[2025-10-24T09:32:01.869Z] INFO: Message 67
[2025-10-24T09:32:01.870Z] INFO: Message 68
[2025-10-24T09:32:01.870Z] INFO: Message 69
[2025-10-24T09:32:01.870Z] INFO: Message 70
[2025-10-24T09:32:01.870Z] INFO: Message 71
[2025-10-24T09:32:01.870Z] INFO: Message 72
[2025-10-24T09:32:01.870Z] INFO: Message 73
[2025-10-24T09:32:01.871Z] INFO: Message 74
[2025-10-24T09:32:01.871Z] INFO: Message 75
[2025-10-24T09:32:01.871Z] INFO: Message 76
[2025-10-24T09:32:01.871Z] INFO: Message 77
[2025-10-24T09:32:01.872Z] INFO: Message 78
[2025-10-24T09:32:01.872Z] INFO: Message 79
[2025-10-24T09:32:01.872Z] INFO: Message 80
[2025-10-24T09:32:01.872Z] INFO: Message 81
[2025-10-24T09:32:01.873Z] INFO: Message 82
[2025-10-24T09:32:01.873Z] INFO: Message 83
[2025-10-24T09:32:01.873Z] INFO: Message 84
[2025-10-24T09:32:01.873Z] INFO: Message 85
[2025-10-24T09:32:01.873Z] INFO: Message 86
[2025-10-24T09:32:01.873Z] INFO: Message 87
[2025-10-24T09:32:01.874Z] INFO: Message 88
[2025-10-24T09:32:01.874Z] INFO: Message 89
[2025-10-24T09:32:01.874Z] INFO: Message 90
[2025-10-24T09:32:01.874Z] INFO: Message 91
[2025-10-24T09:32:01.875Z] INFO: Message 92
[2025-10-24T09:32:01.875Z] INFO: Message 93
[2025-10-24T09:32:01.875Z] INFO: Message 94
[2025-10-24T09:32:01.875Z] INFO: Message 95
[2025-10-24T09:32:01.875Z] INFO: Message 96
[2025-10-24T09:32:01.876Z] INFO: Message 97
[2025-10-24T09:32:01.876Z] INFO: Message 98
[2025-10-24T09:32:01.876Z] INFO: Message 99
